Lineage	Most common countries	Earliest date	# designated	# assigned	Description	WHO Name
A.21	France 27.0%, Burkina_Faso 26.0%, United States of America 11.0%, Portugal 4.0%, Cote_d'Ivoire 3.0%	2020-04-10	62	293	Mali/ Burkina Faso lineage	-
A.22	United_Arab_Emirates 71.0%, Zambia 7.0%, Uganda 7.0%, Oman 7.0%, Hong_Kong 7.0%	2020-03-15	13	14	UAE lineage	-
A.23	Uganda 82.0%, Kenya 12.0%, United States of America 6.0%	2020-08-14	51	88	Ugandan lineage	-
A.23.1	Canada 35.0%, United Kingdom 15.0%, Uganda 13.0%, Rwanda 11.0%, United States of America 7.0%	2020-09-21	263	1203	International lineage with a number of variants of potential biological concern, including 681R	-
A.24	South_Korea 64.0%, Uzbekistan 21.0%, United States of America 7.0%, Singapore 7.0%	2020-03-22	9	14	South Korean lineage	-
A.25	Uganda 48.0%, Kenya 26.0%, United Kingdom 14.0%, Australia 8.0%, South_Sudan 2.0%	2020-05-29	27	50	Ugandan lineage	-
A.26	United Kingdom 100.0%	2020-03-31	15	13	UK lineage	-
A.27	France 34.0%, Ghana 8.0%, Cote_d'Ivoire 7.0%, Germany 6.0%, Slovenia 6.0%	2020-07-10	24	686	Mayotte/ European cluster with 18 changes in the long branch leading to this cluster, including 7 NS changes in the spike (L18F, L452R, N501Y, A653V, H655Y, D796Y, G1219V), on a 614D background. pango-designation issue #11.	-
A.28	France 35.0%, Canary_Islands 13.0%, Turkey 8.0%, Egypt 8.0%, Belgium 8.0%	2020-07-28	66	269	This lineage has 9 changes on its basal branch, including the 69-70del, N501T (not Y) and H655Y. (This variant is picked up by the qPCR S drop). pango-designation issue #12	-
A.29	United Kingdom 55.0%, Turkey 9.0%, Sudan 8.0%, Germany 5.0%, India 4.0%	2020-08-21	108	159	Lineage circulating in multiple countries from pango-designation issue #78	-
A.30	Angola 75.0%, Sweden 25.0%	2021-02-13	5	4	Lineage in several countries, associated with travel from Tanzania, from pango-designation issue #138	-
B	United States of America 37.0%, United Kingdom 20.0%, China 7.0%, Mexico 6.0%, Germany 3.0%	2019-12-24	4009	9118	Second major haplotype (and first to be discovered)	-
B.1	United States of America 47.0%, United Kingdom 8.0%, Turkey 6.0%, Canada 4.0%, France 4.0%	2020-01-01	46252	93709	A large European lineage the origin of which roughly corresponds to the Northern Italian outbreak early in 2020.	-
B.1.1	United Kingdom 26.0%, United States of America 14.0%, Japan 8.0%, Russia 5.0%, Turkey 4.0%	2020-01-08	22834	50128	European lineage with 3 clear SNPs `28881GA`,`28882GA`,`28883GC`	-
B.1.1.1	United Kingdom 52.0%, Peru 10.0%, Belgium 3.0%, United States of America 3.0%, Italy 2.0%	2020-03-02	1745	2933	England	-
C.1	South_Africa 91.0%, Zambia 4.0%, United States of America 3.0%, United Kingdom 1.0%, Mozambique 1.0%	2020-01-03	242	351	Alias of B.1.1.1.1, South Africa	-
C.1.1	Mozambique 100.0%	2020-11-25	12	13	Alias of B.1.1.1.1.1, Mozambique	-
C.1.2	South_Africa 90.0%, Eswatini 4.0%, United Kingdom 1.0%, Botswana 1.0%, United States of America 1.0%	2020-10-07	15	274	Alias of B.1.1.1.1.2, mostly South Africa, from pango-designation issue #139	-
C.2	South_Africa 44.0%, Zimbabwe 32.0%, Denmark 8.0%, United Kingdom 8.0%, Australia 6.0%	2020-06-09	25	50	Alias of B.1.1.1.2, South Africa and some European	-
C.2.1	Aruba 60.0%, United States of America 28.0%, Curaçao 9.0%, Netherlands 3.0%, Finland 1.0%	2020-12-18	58	151	Alias of B.1.1.1.2.1, Aruba and Curacao	-
C.3	United Kingdom 100.0%	2020-05-20	86	129	Alias of B.1.1.1.3, England	-
C.4	Peru 95.0%, United States of America 2.0%, Turkey 2.0%, Switzerland 1.0%, Republic of Serbia 1.0%	2020-05-19	24	131	Alias of B.1.1.1.4, Peruvian	-
C.5	Switzerland 91.0%, Luxembourg 9.0%	2020-09-02	9	11	Alias of B.1.1.1.5, Switzerland and Luxembourg	-
C.6	South_Africa 76.0%, United States of America 12.0%, Peru 4.0%, Japan 4.0%, India 4.0%	2020-04-18	3	25	South Africa	-
C.7	Denmark 100.0%	2020-05-11	29	29	Alias of B.1.1.1.7, Denmark	-
C.8	Canada 96.0%, Democratic Republic of the Congo 2.0%, Australia 0.0%, United States of America 0.0%, Egypt 0.0%	2020-03-23	129	226	Alias of B.1.1.1.8, Canada and DRC	-
C.9	South_Africa 100.0%	2020-07-01	30	30	Alias of B.1.1.1.9, South Africa	-
C.10	Poland 100.0%	2020-04-22	4	4	Poland	-
C.11	Chile 98.0%, Peru 1.0%, Argentina 1.0%	2020-04-01	64	92	Alias of B.1.1.1.11	-
C.12	New_Zealand 100.0%	2020-08-12	120	120	Alias of B.1.1.1.12, New Zealand	-
C.13	Peru 84.0%, United States of America 14.0%, Japan 2.0%	2020-03-29	19	44	Alias of B.1.1.1.13, Peruvian	-
C.14	Peru 92.0%, United States of America 3.0%, Japan 2.0%, Brazil 1.0%, Democratic Republic of the Congo 1.0%	2020-03-20	73	253	Alias of B.1.1.1.14, Peruvian	-
C.16	France 16.0%, Portugal 14.0%, Angola 14.0%, United States of America 13.0%, Switzerland 8.0%	2020-06-26	228	835	Alias of B.1.1.1.16, Portugal originally, now pan-european	-
C.17	Egypt 62.0%, Estonia 12.0%, Germany 6.0%, United_Arab_Emirates 6.0%, Denmark 6.0%	2020-06-02	9	16	Alias of B.1.1.1.17, Egypt	-
C.18	Italy 89.0%, Switzerland 6.0%, Slovenia 2.0%, Spain 1.0%, France 1.0%	2020-07-01	132	186	Alias of B.1.1.1.18, Italy	-
C.19	Denmark 100.0%	2020-12-07	23	37	Alias of B.1.1.1.19, Denmark	-
C.20	Switzerland 85.0%, Germany 8.0%, Denmark 8.0%	2020-10-26	8	13	Alias of B.1.1.1.20, Switzerland	-
C.21	Spain 100.0%	2020-09-15	7	7	Alias of B.1.1.1.21, Spain	-
C.22	Argentina 77.0%, Peru 23.0%	2020-04-03	12	13	Alias of B.1.1.1.22, Argentina	-
C.23	United States of America 90.0%, Pakistan 3.0%, Mexico 3.0%, Peru 2.0%, Denmark 1.0%	2020-05-11	54	175	Alias of B.1.1.1.23, Mainly USA	-
C.25	Peru 100.0%	2020-03-20	8	8	Alias of B.1.1.1.25, Peru	-
C.26	Chile 77.0%, Argentina 23.0%	2020-04-28	72	138	Alias of B.1.1.1.26, Chile	-
C.27	United Kingdom 100.0%	2020-04-19	36	50	Alias of B.1.1.1.27, England	-
C.28	United States of America 100.0%	2020-04-30	17	36	Alias of B.1.1.1.28, USA	-
C.29	Chile 84.0%, Brazil 5.0%, Denmark 5.0%, Russia 5.0%	2020-06-25	6	19	Alias of B.1.1.1.29, Chile	-
C.30	United Kingdom 98.0%, Germany 1.0%, Austria 0.0%, Italy 0.0%, Norway 0.0%	2020-08-04	384	558	Alias of B.1.1.1.30, England	-
C.30.1	Denmark 100.0%	2020-10-05	137	146	Alias of B.1.1.1.30.1, Denmark	-
C.31	United States of America 89.0%, Canada 9.0%, Japan 2.0%	2020-08-11	17	56	Alias of B.1.1.1.31, USA	-
C.32	Peru 95.0%, Turkey 2.0%, Denmark 2.0%, United Kingdom 2.0%	2020-05-07	15	57	Alias of B.1.1.1.32, Peru	-
C.33	Peru 90.0%, United States of America 5.0%, Japan 5.0%	2020-05-18	7	20	Alias of B.1.1.1.33, Peru	-
C.34	Canada 100.0%	2020-08-06	15	27	Alias of B.1.1.1.34, Canada	-
C.35	Germany 17.0%, United Kingdom 15.0%, Slovenia 11.0%, Switzerland 10.0%, Denmark 10.0%	2020-04-06	508	1269	Alias of B.1.1.1.35, Central Europe, England	-
C.36	Egypt 33.0%, Germany 11.0%, United Kingdom 10.0%, United States of America 7.0%, Denmark 6.0%	2020-03-13	220	1043	Alias of B.1.1.1.36, Egypt mainly and other countries	-
C.36.1	Canada 98.0%, United States of America 2.0%, Burkina_Faso 1.0%	2020-09-24	21	198	Alias of B.1.1.1.36.1, Canada	-
C.36.2	Switzerland 83.0%, Norway 7.0%, Sweden 3.0%, Germany 3.0%, Finland 3.0%	2020-10-16	18	29	Alias of B.1.1.1.36.2, Switzerland	-
C.36.3	Germany 19.0%, United States of America 18.0%, Switzerland 9.0%, Italy 8.0%, United Kingdom 7.0%	2021-01-04	493	1659	Alias of B.1.1.1.36.3, Europe and USA lineage, from pango-designation issue #80	-
C.36.3.1	Germany 63.0%, United States of America 17.0%, Belgium 9.0%, Bulgaria 3.0%, Netherlands 3.0%	2020-06-03	54	333	Alias of B.1.1.1.36.3.1, Europe and USA lineage, from pango-designation issue #80	-
C.37	Peru 45.0%, Chile 19.0%, Argentina 13.0%, United States of America 13.0%, Ecuador 3.0%	2020-07-21	370	9261	Alias of B.1.1.1.37, lineage in Peru, Chile, USA and Germany, from pango-designation issue #52	-
C.37.1	Spain 32.0%, United States of America 24.0%, Switzerland 8.0%, Germany 6.0%, Peru 6.0%	2021-03-18	106	274	Alias of B.1.1.1.37.1, lineage outside of South America, from pango-designation issue #158	-
C.38	Germany 29.0%, United States of America 12.0%, Egypt 12.0%, Switzerland 10.0%, Italy 9.0%	2021-02-16	101	112	Alias of B.1.1.1.38, lineage in multiple countries, from pango-designation issue #150, formally B.1.1.527	-
C.39	Chile 57.0%, Peru 13.0%, Germany 7.0%, United States of America 7.0%, Luxembourg 3.0%	2020-12-16	15	30	Alias of B.1.1.1.39, Chile and Peru lineage	-
C.40	Peru 65.0%, France 11.0%, Guinea 7.0%, Germany 6.0%, Chile 4.0%	2020-09-23	11	54	Alias of B.1.1.1.40, Peru lineage, from pango-designation issue #203	-
B.1.1.3	United Kingdom 98.0%, United States of America 1.0%, Romania 1.0%	2020-03-18	89	111	England Lineage	-
B.1.1.4	United Kingdom 100.0%, Russia 0.0%	2020-03-31	177	324	English lineage	-
B.1.1.5	Belgium 44.0%, United Kingdom 22.0%, Iceland 11.0%, Austria 4.0%, Germany 4.0%	2020-03-16	95	114	European lineage	-
B.1.1.7	United Kingdom 24.0%, United States of America 20.0%, Germany 9.0%, Sweden 6.0%, Denmark 6.0%	2020-09-03	69636	1076054	UK lineage of concern, associated with the N501Y mutation. More information can be found at cov-lineages.org/global_report.html	-
Q.1	Lithuania 49.0%, Germany 11.0%, Sweden 8.0%, United States of America 6.0%, United Kingdom 5.0%	2020-12-19	4773	10902	Alias of B.1.1.7.1, predominantly Lithuania lineage, from pango-designation issue #39	-
Q.2	Italy 99.0%, Spain 0.0%, Sweden 0.0%, Germany 0.0%, United Kingdom 0.0%	2020-12-15	1382	1470	Alias of B.1.1.7.2, Italy lineage, from pango-designation issue #79	-
Q.3	United States of America 99.0%, Mexico 0.0%, Canada 0.0%, Puerto_Rico 0.0%, Finland 0.0%	2020-07-08	5328	7032	Alias of B.1.1.7.3, USA lineage, from pango-designation issue #92	-
Q.4	France 37.0%, United States of America 33.0%, Sweden 9.0%, Germany 6.0%, Denmark 3.0%	2020-07-31	1836	2173	Alias of B.1.1.7.4, lineage in multiple countries with spike H681R, from pango-designation issue #176	-
Q.5	Israel 100.0%	2021-04-11	30	48	Alias of B.1.1.7.5, Israel lineage, from pango-designation issue #165	-
Q.6	France 90.0%, Spain 5.0%, Belgium 3.0%, United States of America 3.0%	2021-03-02	122	149	Alias of B.1.1.7.6, France lineage, from pango-designation issue #183	-
Q.7	France 85.0%, Netherlands 8.0%, Belgium 4.0%, United Kingdom 1.0%, Switzerland 1.0%	2021-01-29	829	888	Alias of B.1.1.7.7, predominantly France lineage, from pango-designation issue #183	-
Q.8	United States of America 78.0%, Canada 12.0%, Sri_Lanka 8.0%, United Kingdom 0.0%, Sweden 0.0%	2021-01-21	266	3437	Alias of B.1.1.7.8, Sri Lanka lineage, from pango-designation issue #197	-
B.1.1.8	United Kingdom 67.0%, United States of America 21.0%, India 6.0%, Australia 2.0%, Singapore 1.0%	2020-03-15	224	265	England	-
B.1.1.10	United Kingdom 48.0%, Azerbaijan 9.0%, Estonia 6.0%, United States of America 6.0%, Iceland 5.0%	2020-03-01	538	945	European lineage	-
L.1	Canada 100.0%	2020-03-26	370	552	Alias of B.1.1.10.1, Canadian lineage	-
L.2	Netherlands 73.0%, Germany 19.0%, Cabo_Verde 5.0%, Belgium 4.0%	2020-03-23	61	81	Alias of B.1.1.10.2, Netherlands lineage	-
L.3	Nigeria 27.0%, Germany 14.0%, United States of America 11.0%, United Kingdom 11.0%, Switzerland 10.0%	2020-07-07	88	260	Alias of B.1.1.10.3, Nigerian/ European lineage with long branch from B.1.1.10	-
L.4	United States of America 96.0%, Canada 4.0%	2020-06-29	16	23	USA lineage, alias of B.1.1.10.4	-
B.1.1.12	United Kingdom 98.0%, Czech_Republic 1.0%, France 1.0%, Bangladesh 1.0%	2020-06-02	77	122	England	-
B.1.1.13	United Kingdom 83.0%, Romania 4.0%, Brazil 4.0%, Madagascar 4.0%, Turkey 4.0%	2020-03-14	18	23	UK	-
B.1.1.14	United Kingdom 100.0%	2020-04-16	45	58	Scotland	-
B.1.1.15	United Kingdom 100.0%	2020-06-09	46	61	UK/ Luxembourg lineage	-
B.1.1.16	United Kingdom 61.0%, Brazil 6.0%, Belgium 6.0%, Luxembourg 6.0%, Greece 6.0%	2020-03-11	14	18	Wales with European base	-
B.1.1.17	Iceland 83.0%, India 6.0%, Reunion 5.0%, Madagascar 3.0%, United States of America 2.0%	2020-03-06	29	63	Icelandic	-
B.1.1.25	Bangladesh 48.0%, Canada 30.0%, United States of America 9.0%, United Kingdom 4.0%, Australia 2.0%	2020-03-31	740	1886	Bangladesh Lineage	-
D.2	Australia 100.0%, Bangladesh 0.0%	2020-03-19	11299	12635	Alias of B.1.1.25.2, Australia	-
D.3	Australia 99.0%, Italy 1.0%	2020-06-14	139	163	Alias of B.1.1.25.3, Australia	-
D.4	United Kingdom 80.0%, Ireland 20.0%	2020-08-13	11	15	Alias of B.1.1.25.4, Irish/ Northern Irish lineage	-
D.5	Sweden 65.0%, Denmark 34.0%, United Kingdom 1.0%, Bangladesh 0.0%	2020-10-12	64	206	Alias of B.1.1.25.5, Swedish/ Denmark lineage	-
B.1.1.26	United States of America 99.0%, Japan 1.0%	2020-04-02	179	188	USA Lineage	-
B.1.1.27	Oman 92.0%, United_Arab_Emirates 3.0%, Uganda 3.0%, United Kingdom 1.0%, Bahrain 1.0%	2020-03-21	133	173	Oman Lineage, some UAE	-
B.1.1.28	Brazil 71.0%, Philippines 13.0%, United States of America 6.0%, Paraguay 3.0%, Japan 2.0%	2020-03-05	854	3167	Brazil mostly, absorbed B.1.1.94 and B.1.1.143	-
P.1	Brazil 56.0%, United States of America 29.0%, Chile 3.0%, Argentina 2.0%, Spain 1.0%	2020-10-01	29953	61907	Alias of B.1.1.28.1, Brazilian lineage with a number of spike mutaions with likely functional significance E484K, K417T, and N501Y. Described in https://virological.org/t/genomic-characterisation-of-an-emergent-sars-cov-2-lineage-in-manaus-preliminary-findings/586.	-
P.1.1	Italy 81.0%, Germany 10.0%, United States of America 2.0%, Luxembourg 2.0%, Brazil 1.0%	2021-01-04	2647	2703	Alias of B.1.1.28.1.1, European lineage in Italy and Germany	-
P.1.2	Brazil 56.0%, Argentina 36.0%, Spain 3.0%, Netherlands 2.0%, United States of America 0.0%	2021-01-03	600	1047	Alias of B.1.1.28.1.2, Netherlands/Brazil lineage. Imported into Netherlands, likely with local transmission here and continued circulation within and/or reintroduction into Brazil, pango-designation issue #56	-
P.1.3	Brazil 100.0%	2021-03-12	29	29	Alias of B.1.1.28.1.3, Brazil lineage, from pango-designation issue #141	-
P.1.4	Brazil 98.0%, Costa_Rica 1.0%, Peru 1.0%, United States of America 0.0%, Colombia 0.0%	2021-03-19	326	1039	Alias of B.1.1.28.1.4, Brazil lineage, from pango-designation issue #141	-
P.1.5	Brazil 100.0%	2021-04-03	12	12	Alias of B.1.1.28.1.5, Brazil lineage, from pango-designation issue #141	-
P.1.6	Brazil 99.0%, Ecuador 0.0%, Sweden 0.0%, French_Guiana 0.0%, Honduras 0.0%	2021-03-26	211	564	Alias of B.1.1.28.1.6, Brazil lineage, from pango-designation issue #141	-
P.1.7	Brazil 91.0%, United States of America 5.0%, Spain 2.0%, Peru 0.0%, Mexico 0.0%	2021-03-15	1542	3768	Alias of B.1.1.28.1.7, Brazil lineage, from pango-designation issue #141	-
P.1.7.1	Peru 95.0%, United States of America 2.0%, Brazil 1.0%, Chile 1.0%, Germany 0.0%	2021-02-07	731	787	Alias of B.1.1.28.1.7.1, Peru lineage, from pango-designation issue #326	-
P.1.8	Brazil 94.0%, Sweden 1.0%, France 1.0%, Spain 1.0%, United Kingdom 1.0%	2021-05-03	173	254	Alias of B.1.1.28.1.8, Brazil lineage, from pango-designation issue #164	-
P.1.9	Brazil 95.0%, Mexico 1.0%, United States of America 1.0%, Belgium 1.0%, Paraguay 0.0%	2021-03-15	159	287	Alias of B.1.1.28.1.9, Brazil lineage, from pango-designation issue #174	-
P.1.10	United States of America 88.0%, Brazil 9.0%, Mexico 0.0%, Puerto_Rico 0.0%, Spain 0.0%	2021-02-10	2498	3825	Alias of B.1.1.28.1.10, predominantly USA lineage, from pango-designation issue #179	-
P.1.10.1	Aruba 98.0%, Brazil 1.0%, United States of America 1.0%	2021-04-25	83	84	Alias of B.1.1.28.1.10.1, Aruba lineage, from pango-designation issue #179	-
P.1.10.2	Mexico 100.0%	2021-05-17	24	24	Alias of B.1.1.28.1.10.2, Mexico lineage, from pango-designation issue #179	-
P.1.11	Brazil 98.0%, Spain 1.0%, United States of America 1.0%	2021-05-10	35	101	Alias of B.1.1.28.1.11, Brazil lineage, from pango-designation issue #164	-
P.1.12	Peru 55.0%, Brazil 17.0%, United States of America 16.0%, Mexico 6.0%, Chile 1.0%	2020-12-23	536	1565	Alias of B.1.1.28.1.12, predominantly Peru lineage, from pango-designation issue #212	-
P.1.12.1	Peru 92.0%, United States of America 4.0%, Italy 2.0%, Chile 1.0%, Switzerland 1.0%	2021-07-17	89	166	Sublineage of P.1.12 reported predominantly from Peru and US (from pango-designation issue #282)	-
P.1.13	United States of America 100.0%, Brazil 0.0%, Chile 0.0%, Aruba 0.0%	2021-02-24	930	1027	Alias of B.1.1.28.1.13, USA lineage, from pango-designation issue #231	-
P.1.14	Canada 70.0%, Brazil 28.0%, United States of America 1.0%, Japan 0.0%, Argentina 0.0%	2020-11-03	15641	18078	Alias of B.1.1.28.1.14, predominantly Canada lineage, from pango-designation issue #231	-
P.1.15	Chile 56.0%, Argentina 32.0%, United States of America 6.0%, Spain 1.0%, Mexico 1.0%	2021-01-06	2755	4365	Alias of B.1.1.28.1.15, predominantly Chile lineage, from pango-designation issue #231	-
P.1.16	Belgium 73.0%, Netherlands 14.0%, Germany 5.0%, France 3.0%, United Kingdom 2.0%	2021-01-31	2196	2437	Alias of B.1.1.28.1.16, predominantly Belgium lineage also in other countries in Europe, from pango-designation issue #231	-
P.1.17	United States of America 63.0%, Mexico 29.0%, Spain 2.0%, Germany 2.0%, Brazil 1.0%	2021-02-23	2997	6168	Alias of B.1.1.28.1.17, predominantly USA and Mexico lineage, from pango-designation issue #231	-
P.1.17.1	Luxembourg 79.0%, Germany 9.0%, France 5.0%, Belgium 4.0%, United States of America 1.0%	2021-04-02	890	1091	Alias of B.1.1.28.1.17.1, predominantly in Luxembourg, from pango-designation issue #231	-
P.2	Brazil 55.0%, United States of America 25.0%, Canada 4.0%, Argentina 2.0%, Paraguay 2.0%	2020-04-13	424	4903	Alias of B.1.1.28.2, Brazilian lineage	-
P.3	Philippines 83.0%, United States of America 3.0%, Germany 2.0%, Malaysia 2.0%, United Kingdom 2.0%	2021-01-08	31	550	Alias of B.1.1.28.3, Lineage predominantly in the Philippines with spike mutations E484K, N501Y, P681H, 141-143del. Described in Tablizo et al 2021: https://www.medrxiv.org/content/10.1101/2021.03.03.21252812v2	-
P.4	Brazil 100.0%	2021-02-17	112	264	Alias of B.1.1.28.4, Brazil lineage, pango-designation issue #68	-
P.5	Brazil 100.0%	2021-03-09	24	57	Alias of B.1.1.28.5, Brazil lineage, pango-designation issue #86	-
P.6	Uruguay 98.0%, United States of America 1.0%, Canada 0.0%, Spain 0.0%	2020-12-02	171	246	Alias of B.1.1.28.6, Uruguay lineage, from pango-designation issue #148	-
P.7	Brazil 78.0%, Paraguay 6.0%, Uruguay 5.0%, France 4.0%, Argentina 3.0%	2020-06-24	166	230	Alias of B.1.1.28.7, Brazil lineage, from pango-designation issue #29	-
B.1.1.29	United Kingdom 99.0%, United States of America 1.0%	2020-04-08	113	98	Wales lineage, formerly temporarily assigned B.1.1.439 due to an error (see designation issue 50)	-
B.1.1.30	Lithuania 100.0%	2020-05-18	13	13	Lithuanian	-
B.1.1.31	Russia 100.0%	2020-06-07	15	15	Russian lineage	-
B.1.1.33	Brazil 83.0%, United States of America 4.0%, Chile 3.0%, Canada 1.0%, Argentina 1.0%	2020-03-01	930	2305	Brazillian	-
N.1	United States of America 91.0%, Brazil 9.0%	2020-03-25	27	33	Alias of B.1.1.33.1, US	-
N.2	Suriname 40.0%, France 30.0%, French_Guiana 15.0%, Chile 5.0%, Spain 5.0%	2020-06-23	13	20	Alias of B.1.1.33.2, European lineage	-
N.3	Argentina 96.0%, Bolivia 2.0%, Chile 1.0%, Hong_Kong 1.0%, Paraguay 1.0%	2020-04-17	81	178	Alias of B.1.1.33.3, Argentinian	-
N.4	Chile 92.0%, Brazil 4.0%, Peru 1.0%, United States of America 1.0%, Switzerland 0.0%	2020-03-25	123	239	Alias of B.1.1.33.4, Chilean	-
N.5	Argentina 88.0%, United States of America 7.0%, Spain 1.0%, United Kingdom 1.0%, Italy 1.0%	2020-04-25	59	592	Alias of B.1.1.33.5, Argentinian	-
N.6	Chile 97.0%, Brazil 1.0%, Paraguay 1.0%, Japan 1.0%	2020-02-16	93	138	Alias of B.1.1.33.6, Chilean	-
N.7	Uruguay 100.0%	2020-06-18	27	31	Alias of B.1.1.33.7, Uruguay	-
N.8	Kenya 100.0%	2020-06-23	6	15	Alias of B.1.1.33.8, Kenyan	-
N.9	Brazil 96.0%, Ireland 1.0%, Argentina 1.0%, Japan 1.0%, Germany 1.0%	2020-09-25	32	164	Alias of B.1.1.33.9, Brazilian lineage	-
N.10	Brazil 96.0%, United States of America 2.0%, Paraguay 2.0%	2020-09-16	17	49	Alias of B.1.1.33.10, Brazilian lineage described in https://virological.org/t/identification-of-a-new-b-1-1-33-sars-cov-2-variant-of-interest-voi-circulating-in-brazil-with-mutation-e484k-and-multiple-deletions-in-the-amino-n-terminal-domain-of-the-spike-protein/675	-
B.1.1.34	South_Africa 89.0%, Zimbabwe 4.0%, Russia 3.0%, Togo 1.0%, United Kingdom 1.0%	2020-04-15	52	73	South African lineage	-
B.1.1.37	United Kingdom 95.0%, Latvia 2.0%, Switzerland 1.0%, Iceland 1.0%, Germany 0.0%	2020-03-23	3071	4985	UK lineage	-
B.1.1.38	United Kingdom 100.0%	2020-05-25	17	16	Wales	-
B.1.1.39	Switzerland 67.0%, Germany 15.0%, United Kingdom 4.0%, Denmark 2.0%, Norway 2.0%	2020-03-23	896	1872	Mostly Switzerland with lots of other countries	-
AQ.1	Finland 100.0%	2020-11-17	9	13	Alias of B.1.1.39.1, Finland lineage	-
AQ.2	Denmark 100.0%	2020-08-24	9	9	Alias of B.1.1.39.2, Denmark lineage	-
B.1.1.40	South_Africa 97.0%, Poland 3.0%	2020-04-20	24	29	South African lineage	-
B.1.1.41	United Kingdom 96.0%, Russia 3.0%, Cyprus 1.0%	2020-03-21	131	158	Engligh lineage	-
B.1.1.43	United Kingdom 97.0%, Spain 1.0%, United States of America 1.0%	2020-03-25	50	67	Scottish lineage	-
B.1.1.44	United Kingdom 77.0%, Sweden 6.0%, Denmark 3.0%, Iceland 2.0%, Poland 2.0%	2020-02-28	200	401	Pan-European, big scottish section	-
B.1.1.45	United Kingdom 77.0%, Japan 17.0%, Switzerland 3.0%, United States of America 1.0%, Brazil 1.0%	2020-05-22	22	77	UK	-
B.1.1.46	India 50.0%, Mongolia 37.0%, United Kingdom 8.0%, Australia 1.0%, Japan 1.0%	2020-04-20	84	245	Mostly India	-
